category,id,name,description,type,cuisine,mealTypes,calories,protein,carbs,fat,notes
breakfast,bf001,Dosa,"Crispy dosa with spicy red chutney and potato filling, originated from Mysore",breakfast,South Indian,vegetarian,320,8,58,7,
breakfast,bf002,Set Dosa,"Soft and fluffy dosas served in sets of 3-4, popular Karnataka breakfast",breakfast,South Indian,vegetarian,280,7,52,5,
breakfast,bf003,Rava Idli,"Steamed semolina cakes with mustard seeds, curry leaves and cashews",breakfast,South Indian,vegetarian,150,4,28,3,
breakfast,bf004,Uppittu,"Savory semolina porridge with vegetables, mustard seeds and curry leaves",breakfast,South Indian,vegetarian,200,5,35,5,
breakfast,bf005,Kesari Bath,"Sweet semolina dessert with ghee, sugar and nuts",breakfast,South Indian,vegetarian,250,4,45,8,
breakfast,bf006,Avalakki,"Flattened rice cooked with onions, peanuts and spices, garnished with coriander",breakfast,North Indian,vegetarian,180,4,32,4,
breakfast,bf007,Idli,Soft steamed cakes made from fermented rice and lentil batter,breakfast,South Indian,vegetarian,35,2,6,0.5,
breakfast,bf008,Akki Roti,"Rice flour flatbread with vegetables and spices, cooked on griddle",breakfast,South Indian,vegetarian,200,5,38,4,
breakfast,bf009,Ragi Rotti,Nutritious finger millet flatbread with vegetables and spices,breakfast,South Indian,vegetarian,150,4,25,4,
breakfast,bf010,Pongal,Comforting rice and lentil porridge with black pepper and ghee,breakfast,South Indian,vegetarian,180,6,30,4,
breakfast,bf011,Shavige Bath,Delicate vermicelli cooked with vegetables and mild spices,breakfast,South Indian,vegetarian,200,8,30,6,
breakfast,bf012,Sabudana Khichadi,Light and fluffy tapioca pearls cooked with peanuts and curry leaves,breakfast,North Indian,vegetarian,200,8,30,6,
breakfast,bf013,Aloo/Gobi/Paneer Paratha,"Traditional whole wheat flatbread, soft and nutritious",breakfast,North Indian,vegetarian,220,7,35,6,
breakfast,bf016,Paddu,"Soft and fluffy dosa balls served in sets of 3-4, popular Karnataka breakfast",breakfast,South Indian,vegetarian,280,7,52,5,
breakfast,bf017,Poori,,breakfast,South Indian,vegetarian,200,8,30,6,
